start_time,end_time,steps,distance,flights,activity_level
2024-03-09 14:40:00+09:00,2024-03-09 14:50:00+09:00,67.0,0.049,0.0,Inactive
2024-03-09 14:50:00+09:00,2024-03-09 15:00:00+09:00,69.0,0.055,0.0,Inactive
2024-03-09 15:00:00+09:00,2024-03-09 15:10:00+09:00,90.0,0.071,0.0,Inactive
2024-03-09 15:10:00+09:00,2024-03-09 15:20:00+09:00,100.0,0.084,0.0,Inactive
2024-03-09 15:20:00+09:00,2024-03-09 15:30:00+09:00,217.0,0.144,0.0,Moderate
2024-03-09 15:30:00+09:00,2024-03-09 15:40:00+09:00,49.0,0.05,0.0,Inactive
2024-03-09 15:40:00+09:00,2024-03-09 15:50:00+09:00,29.0,0.033,0.0,Inactive
2024-03-09 15:50:00+09:00,2024-03-09 16:00:00+09:00,48.0,0.024,0.0,Inactive
2024-03-09 16:00:00+09:00,2024-03-09 16:10:00+09:00,20.0,0.014,0.0,Inactive
2024-03-09 16:30:00+09:00,2024-03-09 16:40:00+09:00,50.0,0.037,0.0,Inactive
2024-03-09 16:40:00+09:00,2024-03-09 16:50:00+09:00,75.0,0.055,0.0,Inactive
2024-03-09 16:50:00+09:00,2024-03-09 17:00:00+09:00,63.0,0.044,0.0,Inactive
2024-03-09 17:00:00+09:00,2024-03-09 17:10:00+09:00,41.0,0.027,0.0,Inactive
2024-03-09 17:10:00+09:00,2024-03-09 17:20:00+09:00,38.0,0.028,0.0,Inactive
2024-03-09 17:20:00+09:00,2024-03-09 17:30:00+09:00,16.0,0.011,0.0,Inactive
2024-03-09 17:30:00+09:00,2024-03-09 17:40:00+09:00,66.0,0.045,0.0,Inactive
2024-03-09 17:40:00+09:00,2024-03-09 17:50:00+09:00,168.0,0.122,0.0,Light
2024-03-09 17:50:00+09:00,2024-03-09 18:00:00+09:00,857.0,0.642,11.717,Very Active
2024-03-09 18:00:00+09:00,2024-03-09 18:10:00+09:00,958.0,0.714,19.283,Intense
2024-03-09 18:10:00+09:00,2024-03-09 18:20:00+09:00,24.0,0.017,0.0,Inactive
2024-03-09 18:20:00+09:00,2024-03-09 18:30:00+09:00,89.0,0.063,0.0,Inactive
2024-03-09 18:30:00+09:00,2024-03-09 18:40:00+09:00,38.0,0.029,0.0,Inactive
2024-03-09 18:40:00+09:00,2024-03-09 18:50:00+09:00,70.0,0.052,0.0,Inactive
2024-03-09 18:50:00+09:00,2024-03-09 19:00:00+09:00,46.0,0.035,0.0,Inactive
2024-03-09 19:10:00+09:00,2024-03-09 19:20:00+09:00,30.0,0.023,0.0,Inactive
2024-03-09 19:20:00+09:00,2024-03-09 19:30:00+09:00,14.0,0.012,0.0,Inactive
2024-03-09 19:40:00+09:00,2024-03-09 19:50:00+09:00,77.0,0.058,0.0,Inactive
2024-03-09 19:50:00+09:00,2024-03-09 20:00:00+09:00,90.0,0.069,1.0,Inactive
2024-03-09 20:50:00+09:00,2024-03-09 21:00:00+09:00,2.0,0.001,0.0,Inactive
2024-03-09 21:00:00+09:00,2024-03-09 21:10:00+09:00,8.0,0.006,0.0,Inactive
2024-03-09 21:20:00+09:00,2024-03-09 21:30:00+09:00,3.0,0.002,0.0,Inactive
2024-03-09 21:30:00+09:00,2024-03-09 21:40:00+09:00,30.0,0.022,0.0,Inactive
2024-03-09 22:10:00+09:00,2024-03-09 22:20:00+09:00,33.0,0.024,0.0,Inactive
2024-03-09 22:20:00+09:00,2024-03-09 22:30:00+09:00,50.0,0.038,0.0,Inactive
2024-03-09 22:30:00+09:00,2024-03-09 22:40:00+09:00,76.0,0.058,1.0,Inactive
2024-03-09 22:40:00+09:00,2024-03-09 22:50:00+09:00,1.0,0.001,0.0,Inactive
2024-03-09 23:30:00+09:00,2024-03-09 23:40:00+09:00,7.0,0.005,0.0,Inactive
2024-03-09 23:40:00+09:00,2024-03-09 23:50:00+09:00,18.0,0.013,0.0,Inactive
2024-03-10 00:00:00+09:00,2024-03-10 00:10:00+09:00,18.0,0.009,0.0,Inactive
2024-03-10 00:20:00+09:00,2024-03-10 00:30:00+09:00,8.0,0.006,0.0,Inactive
2024-03-10 08:00:00+09:00,2024-03-10 08:10:00+09:00,15.0,0.011,0.0,Inactive
2024-03-10 08:10:00+09:00,2024-03-10 08:20:00+09:00,66.0,0.05,0.0,Inactive
2024-03-10 08:30:00+09:00,2024-03-10 08:40:00+09:00,68.0,0.049,0.0,Inactive
2024-03-10 08:40:00+09:00,2024-03-10 08:50:00+09:00,56.0,0.041,0.0,Inactive
2024-03-10 09:40:00+09:00,2024-03-10 09:50:00+09:00,17.0,0.013,0.0,Inactive
2024-03-10 10:30:00+09:00,2024-03-10 10:40:00+09:00,13.0,0.01,0.0,Inactive
2024-03-10 10:40:00+09:00,2024-03-10 10:50:00+09:00,65.0,0.05,0.0,Inactive
2024-03-10 11:00:00+09:00,2024-03-10 11:10:00+09:00,18.0,0.013,0.0,Inactive
2024-03-10 11:10:00+09:00,2024-03-10 11:20:00+09:00,72.0,0.053,0.0,Inactive
2024-03-10 11:20:00+09:00,2024-03-10 11:30:00+09:00,118.0,0.055,0.0,Light
2024-03-10 11:30:00+09:00,2024-03-10 11:40:00+09:00,221.0,0.21,0.0,Moderate
2024-03-10 11:40:00+09:00,2024-03-10 11:50:00+09:00,63.0,0.036,0.0,Inactive
2024-03-10 11:50:00+09:00,2024-03-10 12:00:00+09:00,48.0,0.041,0.0,Inactive
2024-03-10 12:00:00+09:00,2024-03-10 12:10:00+09:00,117.0,0.092,0.0,Light
2024-03-10 12:10:00+09:00,2024-03-10 12:20:00+09:00,22.0,0.016,0.0,Inactive
2024-03-10 12:20:00+09:00,2024-03-10 12:30:00+09:00,79.0,0.058,0.0,Inactive
2024-03-10 12:30:00+09:00,2024-03-10 12:40:00+09:00,25.0,0.019,0.0,Inactive
2024-03-10 12:40:00+09:00,2024-03-10 12:50:00+09:00,30.0,0.022,0.0,Inactive
2024-03-10 13:00:00+09:00,2024-03-10 13:10:00+09:00,189.0,0.15,0.0,Light
2024-03-10 13:10:00+09:00,2024-03-10 13:20:00+09:00,272.0,0.187,0.0,Moderate
2024-03-10 13:20:00+09:00,2024-03-10 13:30:00+09:00,192.0,0.141,0.0,Moderate
2024-03-10 13:30:00+09:00,2024-03-10 13:40:00+09:00,399.0,0.295,0.0,Moderate
2024-03-10 13:40:00+09:00,2024-03-10 13:50:00+09:00,205.0,0.151,2.0,Moderate
