type,start_time,end_time,duration,duration_unit,total_distance,total_energy_burned,avg_heart_rate,min_heart_rate,max_heart_rate,avg_mets,temperature,humidity,elevation_ascended,num_segments
HKWorkoutActivityTypeStairClimbing,2024-03-11 12:15:57+09:00,2024-03-11 12:36:50+09:00,20.88899891575177,min,0.0,106.02,130.451,89.0,162.0,7.5626,47.534,41.0,0.0,0
HKWorkoutActivityTypeStairClimbing,2024-03-12 21:02:27+09:00,2024-03-12 21:13:26+09:00,10.97116451660792,min,0.0,56.7491,132.759,96.0,160.0,7.67907,42.836,70.0,0.0,0
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-03-13 12:13:09+09:00,2024-03-13 13:23:08+09:00,69.98333333333333,min,5.6204,238.37150000000003,126.81784876733525,89.0,167.0,5.512703521733517,51.66047781597378,39.919434351348436,3504.0,11
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning,2024-03-14 12:09:43+09:00,2024-03-14 13:07:22+09:00,57.65,min,5.20035,191.0663,125.65299786861141,95.0,167.0,5.457578691521207,54.84721637804109,47.9193875762462,875.0,11
HKWorkoutActivityTypeWalking,2024-03-16 15:48:03+09:00,2024-03-16 16:02:59+09:00,14.92344426512718,min,1.18736,45.3012,115.362,102.0,141.0,5.08986,60.836,37.0,0.0,2
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeRunning,2024-03-18 11:37:12+09:00,2024-03-18 12:42:20+09:00,65.13333333333334,min,4.20002,225.8077,136.72278653831273,105.0,178.0,6.853623032768075,48.3368339225219,28.86978144176031,20621.0,18
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-03-19 12:15:26+09:00,2024-03-19 13:31:43+09:00,76.28333333333333,min,5.73173,305.354,127.68093162791797,85.0,176.0,6.317362960723971,48.71000995974677,67.8128169602984,24581.0,15
HKWorkoutActivityTypeRunning,2024-04-12 13:36:53+09:00,2024-04-12 13:51:27+09:00,14.22403970162074,min,1.50652,66.0198,137.265,116.0,162.0,6.33489,71.6,46.0,1589.0,4
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-04-13 17:04:06+09:00,2024-04-13 18:12:16+09:00,68.16666666666667,min,3.9744,211.5516,127.97762473235824,95.0,179.0,6.550366217961842,75.67211416424533,36.506959879992394,18889.0,17
HKWorkoutActivityTypeRunning,2024-04-14 18:30:37+09:00,2024-04-14 18:52:51+09:00,21.78953903913498,min,1.73995,93.3054,123.232,100.0,160.0,6.57663,74.174,39.0,7729.0,12
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-04-16 12:16:54+09:00,2024-04-16 13:11:50+09:00,54.93333333333333,min,5.14055,254.3714,135.48697172633396,96.0,171.0,7.382852137627725,61.29220410865253,69.13276636485409,1421.0,13
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning,2024-04-17 12:07:43+09:00,2024-04-17 13:16:04+09:00,68.35,min,6.0159199999999995,239.296,127.5254011454825,94.0,160.0,5.8364527569802025,67.10259178046232,47.41753893063611,551.0,16
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-04-19 11:35:36+09:00,2024-04-19 12:42:35+09:00,66.98333333333333,min,3.7901,219.3131,129.77575616129388,98.0,172.0,6.559723909635521,69.96646674378675,39.83185177395276,18311.0,11
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-04-22 11:54:22+09:00,2024-04-22 12:56:54+09:00,62.53333333333333,min,4.80794,255.916,132.1718353002678,105.0,176.0,6.8783385030940405,69.30277583094822,44.64638756992348,19293.0,19
HKWorkoutActivityTypeRunning,2024-04-23 12:15:30+09:00,2024-04-23 12:58:23+09:00,42.80802546143532,min,4.86056,205.762,141.775,106.0,163.0,7.31241,68.972,47.0,1429.0,12
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning,2024-04-24 12:08:40+09:00,2024-04-24 13:02:28+09:00,53.8,min,5.0726700000000005,194.5998,120.10388204007876,91.0,168.0,6.186137117754089,59.190239009617684,73.42155830661753,1120.0,16
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-04-26 11:31:25+09:00,2024-04-26 12:59:52+09:00,88.45,min,6.5300899999999995,308.8238,124.20036449112892,91.0,175.0,6.370679286914459,70.55469209382777,48.61911084379557,23008.0,15
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-04-27 19:07:08+09:00,2024-04-27 19:54:22+09:00,47.233333333333334,min,4.3153500000000005,206.5967,128.34289009475694,98.0,170.0,6.953912100357947,66.99712255381299,52.484412192259384,11816.0,13
HKWorkoutActivityTypeWalking,2024-04-28 16:10:44+09:00,2024-04-28 16:40:45+09:00,30.01250228683154,min,1.90785,107.927,103.855,83.0,130.0,4.62254,80.906,34.0,1715.0,4
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-04-29 11:36:11+09:00,2024-04-29 13:17:51+09:00,101.66666666666667,min,5.72922,284.6478,118.69810430997826,77.0,171.0,5.834877865307406,72.15021175230498,43.34925200475001,23370.0,19
HKWorkoutActivityTypeWalking,2024-04-30 12:38:35+09:00,2024-04-30 13:10:25+09:00,31.83427462975184,min,2.36092,69.6483,98.4577,85.0,115.0,5.17994,70.016,49.0,0.0,6
HKWorkoutActivityTypeRunning,2024-07-16 12:36:02+09:00,2024-07-16 13:07:25+09:00,31.39296268224716,min,3.59238,157.899,153.392,117.0,174.0,7.54065,83.012,71.0,922.0,8
HKWorkoutActivityTypeRunning,2024-07-17 12:39:57+09:00,2024-07-17 13:14:06+09:00,34.04507029652596,min,3.57167,153.1,145.013,120.0,166.0,6.86537,81.86,81.0,1072.0,10
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-07-19 11:39:25+09:00,2024-07-19 13:02:15+09:00,82.83333333333333,min,5.59782,290.8068,145.30469711757107,116.0,182.0,5.843279503429829,83.07542056428609,72.11588784391466,14449.0,35
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning,2024-07-24 12:17:03+09:00,2024-07-24 13:05:08+09:00,48.083333333333336,min,4.24933,172.2814,139.08793910384875,79.0,166.0,6.319790839746476,85.154,77.0,821.0,12
HKWorkoutActivityTypeRunning,2024-07-25 12:31:05+09:00,2024-07-25 12:52:03+09:00,20.88893234332403,min,2.0178,85.1403,134.446,111.0,149.0,6.34614,87.53,69.0,447.0,8
HKWorkoutActivityTypeRunning,2024-08-09 12:31:01+09:00,2024-08-09 13:04:27+09:00,31.07475742300351,min,2.68645,111.674,133.596,110.0,150.0,5.46681,88.466,63.0,543.0,20
